influencer_alias,budget,expense_type,post_date,payment_round,payment_status
influencer_087,1000.0,influencer_fee,2026-01-23,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_094,1500.0,influencer_fee,2026-01-23,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_194,1500.0,influencer_fee,2026-01-23,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_200,1000.0,influencer_fee,2026-01-24,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_095,1000.0,influencer_fee,2026-01-26,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_029,1000.0,influencer_fee,2026-01-28,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_104,1200.0,influencer_fee,2026-01-28,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_042,1500.0,influencer_fee,2026-01-30,รอบจ่าย 27 ก.พ.,ทำจ่ายแล้ว
influencer_053,4000.0,influencer_fee,2026-02-02,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_134,3500.0,influencer_fee,2026-02-02,รอบจ่าย 31 มี.ค.,ทำจ่ายแล้ว
influencer_033,1500.0,influencer_fee,2026-02-03,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_208,1200.0,influencer_fee,2026-02-04,รอบจ่าย 31 มี.ค.,ทำจ่ายแล้ว
influencer_025,1000.0,influencer_fee,2026-02-05,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_052,1000.0,influencer_fee,2026-02-06,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_112,1500.0,influencer_fee,2026-02-06,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_113,2000.0,influencer_fee,2026-02-06,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_116,2500.0,influencer_fee,2026-02-06,รอบจ่าย 31 มี.ค.,ทำจ่ายแล้ว
influencer_159,1200.0,influencer_fee,2026-02-06,รอบจ่าย 16 เม.ย.,ทำจ่ายแล้ว
influencer_170,5000.0,influencer_fee,2026-02-06,รอบจ่าย 16 มี.ค.,ทำจ่ายแล้ว
influencer_172,1200.0,influencer_fee,2026-02-06,รอบจ่าย 31 มี.ค.,ทำจ่ายแล้ว
