payment_round,payment_count,total_budget,paid_budget,unpaid_budget,unspecified_status_budget
รอบจ่าย 16 ก.ค.,26,35600.0,0.0,5000.0,30600.0
รอบจ่าย 16 พ.ค.,75,114200.0,109000.0,5200.0,0.0
รอบจ่าย 16 มิ.ย.,25,51500.0,0.0,51500.0,0.0
รอบจ่าย 16 มี.ค.,3,7400.0,7400.0,0.0,0.0
รอบจ่าย 16 เม.ย.,39,117000.0,117000.0,0.0,0.0
รอบจ่าย 27 ก.พ.,8,9700.0,9700.0,0.0,0.0
รอบจ่าย 30 พ.ค.,17,26500.0,8300.0,17700.0,500.0
รอบจ่าย 30 มิ.ย..,3,4500.0,0.0,4500.0,0.0
รอบจ่าย 30 เม.ย.,32,41198.0,36600.0,0.0,4598.0
รอบจ่าย 31 ก.ค.,2,5000.0,0.0,5000.0,0.0
รอบจ่าย 31 มี.ค.,33,44100.0,44100.0,0.0,0.0
ไม่ระบุรอบจ่าย,5,3500.0,3500.0,0.0,0.0
